Prod,HS6,Balance_mean
C_ALUO_260600,260600,0.000810213
C_CHEM_250100,250100,0.000953862
C_CHEM_282200,282200,0.698672644
C_CHEM_282520,282520,0.254685014
C_CHEM_282540,282540,0.007102387
C_CHEM_282619,282619,0.508620505
C_CHEM_282739,282739,0.388943826
C_CHEM_282759,282759,0.248651761
C_CHEM_282760,282760,0.176049117
C_CHEM_283090,283090,0.000926648
C_CHEM_283329,283329,0.191337372
C_CHEM_283429,283429,0.238645489
C_CHEM_283529,283529,0.316072008
C_CHEM_283699,283699,0.451408614
C_CHEM_283720,283720,0.369373105
C_CHEM_284990,284990,0.099433015
C_CHEM_285390,285390,0.438505354
C_CHEM_291529,291529,0.21656389
C_CHEM_291570,291570,0.095252792
C_CHEM_291711,291711,0.332584775
C_CHEM_320710,320710,0.169666281
C_CHEM_321100,321100,0.002878695
C_CHEM_381511,381511,0.002206681
C_CHEM_381512,381512,0.001622529
C_CHEM_381519,381519,0.056999991
C_CHEM_381590,381590,2.74E-06
C_COPO_260300,260300,0.006874694
C_CRMC_690911,690911,0.029086515
C_CRMC_690919,690919,0.028005562
C_CRMC_691010,691010,0.028520976
C_CRMC_691110,691110,0.028547311
C_CRMC_691190,691190,0.028727788
C_CRMC_691310,691310,0.028565745
C_CRMC_691410,691410,0.02838458
C_ELMA_850440,850440,2.29E-07
C_ELMA_850511,850511,0.124944493
C_ELMA_850650,850650,0.065223436
C_ELMA_850690,850690,0.142929429
C_ELMA_850730,850730,0.005701205
C_ELMA_850750,850750,0.052477042
C_ELMA_850760,850760,0.069203267
C_ELMA_850780,850780,0.096146903
C_ELMA_851210,851210,1.59E-06
C_ELMA_851310,851310,0.002992484
C_ELMA_853120,853120,7.01E-06
C_ELMA_853941,853941,1.72E-06
C_ELMA_853949,853949,1.83E-06
C_ELMA_940510,940510,1.56E-06
C_ELMA_940520,940520,1.55E-06
C_ELMA_940530,940530,1.53E-06
C_ELMA_940540,940540,1.32E-09
C_FABM_731815,731815,0.049270016
C_FABM_820220,820220,0.01260775
C_FABM_820231,820231,0.012560493
C_FABM_820239,820239,0.012444412
C_FABM_820291,820291,0.00506944
C_FABM_820510,820510,0.025075335
C_FABM_820540,820540,6.69E-09
C_FABM_820720,820720,0.004926578
C_FABM_820730,820730,0.004977844
C_FABM_820740,820740,0.025075797
C_FABM_820770,820770,0.050974949
C_FABM_820780,820780,0.050883885
C_FABM_820810,820810,0.093788043
C_FABM_820900,820900,0.002235634
C_FABM_821520,821520,0.014927482
C_FABM_840211,840211,0.156094604
C_FABM_840212,840212,0.153084469
C_FABM_840219,840219,0.153477851
C_FURN_660390,660390,0.00017123
C_FURN_920710,920710,1.43E-06
C_FURN_920790,920790,1.42E-06
C_FURN_950300,950300,7.01E-06
C_FURN_950490,950490,5.37E-06
C_LZTO_260800,260800,0.000665022
C_MACH_630110,630110,2.23E-06
C_MACH_840310,840310,3.85E-08
C_MACH_840610,840610,0.138779265
C_MACH_840681,840681,0.132778808
C_MACH_840682,840682,0.134580669
C_MACH_840690,840690,0.137052243
C_MACH_840710,840710,0.297819622
C_MACH_840991,840991,2.25E-05
C_MACH_840999,840999,2.25E-05
C_MACH_841191,841191,0.007129734
C_MACH_841199,841199,0.007111536
C_MACH_841410,841410,8.81E-05
C_MACH_841420,841420,0.00411519
C_MACH_841430,841430,2.30E-05
C_MACH_841440,841440,0.002806472
C_MACH_841451,841451,5.58E-05
C_MACH_841459,841459,1.40E-05
C_MACH_841460,841460,0.000311927
C_MACH_841480,841480,0.000109042
C_MACH_841490,841490,4.08E-05
C_MACH_841510,841510,0.001658052
C_MACH_841581,841581,0.001657939
C_MACH_841582,841582,0.001656396
C_MACH_841583,841583,0.00165277
C_MACH_841590,841590,0.003371165
C_MACH_841810,841810,3.11E-05
C_MACH_841821,841821,5.05E-05
C_MACH_841829,841829,0.000955444
C_MACH_841830,841830,0.000313909
C_MACH_841840,841840,0.000401607
C_MACH_841850,841850,0.0001858
C_MACH_841861,841861,0.000211817
C_MACH_841869,841869,0.000681297
C_MACH_841891,841891,0.001780611
C_MACH_841899,841899,8.23E-05
C_MACH_842112,842112,4.31E-06
C_MACH_842211,842211,1.15E-05
C_MACH_842219,842219,2.74E-06
C_MACH_842310,842310,2.22E-06
C_MACH_842810,842810,8.46E-05
C_MACH_842820,842820,0.000707713
C_MACH_842831,842831,0.002024588
C_MACH_842832,842832,0.000757868
C_MACH_842833,842833,0.00023041
C_MACH_842839,842839,0.000223327
C_MACH_842840,842840,0.000424345
C_MACH_842860,842860,0.002886541
C_MACH_842890,842890,5.04E-05
C_MACH_844311,844311,2.03E-05
C_MACH_844313,844313,2.06E-05
C_MACH_844315,844315,6.48E-06
C_MACH_844316,844316,1.01E-05
C_MACH_844317,844317,9.11E-06
C_MACH_844319,844319,0.000872693
C_MACH_844339,844339,0.00581666
C_MACH_844399,844399,3.41E-06
C_MACH_844400,844400,0.000133361
C_MACH_844511,844511,0.001318236
C_MACH_844512,844512,0.007552704
C_MACH_844513,844513,5.38E-05
C_MACH_844519,844519,0.000329886
C_MACH_844520,844520,0.00049362
C_MACH_844530,844530,0.001640953
C_MACH_844540,844540,0.000340041
C_MACH_844590,844590,0.000340628
C_MACH_844610,844610,0.000354464
C_MACH_844621,844621,0.001724884
C_MACH_844629,844629,0.001877217
C_MACH_844711,844711,0.000337211
C_MACH_844712,844712,0.006549339
C_MACH_844720,844720,0.000432271
C_MACH_844790,844790,0.000441431
C_MACH_845011,845011,3.02E-05
C_MACH_845012,845012,0.000492815
C_MACH_845019,845019,0.001250081
C_MACH_845020,845020,0.000406004
C_MACH_845090,845090,0.000111284
C_MACH_845121,845121,1.22E-05
C_MACH_845129,845129,1.23E-05
C_MACH_845210,845210,2.21E-06
C_MACH_845720,845720,0.005059464
C_MACH_845730,845730,0.001467015
C_MACH_845811,845811,0.000399137
C_MACH_845819,845819,0.000143515
C_MACH_845891,845891,0.000588332
C_MACH_845899,845899,0.001592399
C_MACH_845910,845910,0.008249909
C_MACH_845921,845921,0.011817569
C_MACH_845929,845929,0.000632865
C_MACH_845931,845931,0.000242333
C_MACH_845939,845939,0.000213935
C_MACH_845941,845941,0.000110242
C_MACH_845949,845949,9.52E-05
C_MACH_845951,845951,0.006598923
C_MACH_845959,845959,0.006453434
C_MACH_845961,845961,1.63E-05
C_MACH_845969,845969,0.002574799
C_MACH_845970,845970,0.007241317
C_MACH_846012,846012,0.001167267
C_MACH_846019,846019,0.000949604
C_MACH_846022,846022,0.001022623
C_MACH_846023,846023,0.001026906
C_MACH_846024,846024,0.00102351
C_MACH_846029,846029,0.001614995
C_MACH_846031,846031,0.005735171
C_MACH_846039,846039,0.003721656
C_MACH_846040,846040,0.003860954
C_MACH_846090,846090,0.001945332
C_MACH_846120,846120,0.003003499
C_MACH_846140,846140,0.000602635
C_MACH_846150,846150,0.001115035
C_MACH_846190,846190,0.001540912
C_MACH_846390,846390,0.053270744
C_MACH_846721,846721,0.012803419
C_MACH_846722,846722,2.49E-07
C_MACH_846729,846729,1.28E-07
C_MACH_848640,848640,0.000136502
C_MACH_850811,850811,6.62E-05
C_MACH_850819,850819,6.63E-05
C_MACH_850860,850860,1.12E-07
C_MACH_850940,850940,1.89E-07
C_MACH_850980,850980,2.28E-06
C_MACH_851010,851010,2.37E-07
C_MACH_851020,851020,2.40E-07
C_MACH_851030,851030,2.38E-07
C_MACH_851511,851511,2.35E-07
C_MACH_851519,851519,2.38E-07
C_MACH_851521,851521,2.39E-07
C_MACH_851529,851529,2.37E-07
C_MACH_851531,851531,2.44E-07
C_MACH_851610,851610,9.70E-07
C_MACH_851621,851621,1.15E-06
C_MACH_851629,851629,1.71E-06
C_MACH_851631,851631,2.40E-07
C_MACH_851632,851632,2.41E-07
C_MACH_851633,851633,2.33E-07
C_MACH_851640,851640,2.21E-06
C_MACH_851650,851650,0.000139169
C_MACH_851660,851660,6.98E-07
C_MACH_851671,851671,9.75E-07
C_MACH_851672,851672,1.81E-07
C_MACH_851679,851679,1.83E-07
C_MEIN_300640,300640,0.677136933
C_MEIN_900659,900659,0.01503168
C_MEIN_900661,900661,4.64E-06
C_MEIN_900669,900669,4.61E-06
C_MEIN_900710,900710,4.52E-06
C_MEIN_900720,900720,1.98E-06
C_MEIN_900850,900850,1.99E-06
C_MEIN_901010,901010,1.99E-06
C_MEIN_901050,901050,1.99E-06
C_MEIN_901060,901060,2.00E-06
C_MEIN_901811,901811,3.40E-06
C_MEIN_901812,901812,3.21E-06
C_MEIN_901813,901813,4.60E-05
C_MEIN_901814,901814,3.24E-06
C_MEIN_901819,901819,3.31E-06
C_MEIN_901841,901841,3.16E-06
C_MEIN_901910,901910,2.47E-07
C_MEIN_902190,902190,0.672394413
C_MEIN_903040,903040,0.001501066
C_MEIN_910111,910111,0.004597739
C_MEIN_910119,910119,0.004591874
C_MEIN_910191,910191,1.99E-06
C_MEIN_910211,910211,0.004607696
C_MEIN_910212,910212,0.004562946
C_MEIN_910219,910219,0.004572262
C_MEIN_910221,910221,0.004502775
C_MEIN_910229,910229,0.00969811
C_MEIN_910291,910291,2.15E-06
C_MEIN_910299,910299,2.14E-06
C_MEIN_910310,910310,2.18E-06
C_MEIN_910390,910390,2.19E-06
C_MEIN_910511,910511,2.21E-06
C_MEIN_910519,910519,2.21E-06
C_MEIN_910521,910521,2.20E-06
C_MEIN_910529,910529,2.16E-06
C_MEIN_910591,910591,2.20E-06
C_MEIN_910599,910599,2.23E-06
C_MEIN_910700,910700,2.33E-06
C_MEIN_910811,910811,1.99E-06
C_MEIN_910812,910812,2.03E-06
C_MEIN_910819,910819,1.91E-06
C_MEIN_910890,910890,1.98E-06
C_MEIN_910910,910910,2.15E-06
C_MEIN_910990,910990,2.08E-06
C_MOTO_870220,870220,1.38E-05
C_MOTO_870230,870230,1.39E-05
C_MOTO_870240,870240,5.95E-05
C_MOTO_870310,870310,0.000825114
C_MOTO_870321,870321,2.23E-05
C_MOTO_870322,870322,2.34E-05
C_MOTO_870323,870323,1.70E-05
C_MOTO_870324,870324,1.34E-05
C_MOTO_870331,870331,5.28E-05
C_MOTO_870332,870332,1.98E-05
C_MOTO_870333,870333,0.000179395
C_MOTO_870340,870340,8.64E-05
C_MOTO_870350,870350,0.000166116
C_MOTO_870360,870360,0.000270042
C_MOTO_870370,870370,0.000312457
C_MOTO_870380,870380,0.004130871
C_MOTO_870390,870390,0.000322049
C_MOTO_870421,870421,2.14E-05
C_MOTO_870431,870431,2.06E-05
C_MOTO_870490,870490,2.00E-05
C_NIKO_260400,260400,0.001590742
C_OFMA_844312,844312,1.12E-05
C_OFMA_844331,844331,0.001967215
C_OFMA_844332,844332,0.001981912
C_OFMA_847010,847010,3.84E-06
C_OFMA_847021,847021,3.79E-06
C_OFMA_847029,847029,3.76E-06
C_OFMA_847050,847050,2.83E-06
C_OFMA_847090,847090,2.84E-06
C_OFMA_847130,847130,0.006328899
C_OFMA_847141,847141,0.000813561
C_OFMA_847149,847149,0.000114629
C_OFMA_847150,847150,5.20E-05
C_OFMA_847160,847160,4.23E-05
C_OFMA_847170,847170,8.19E-05
C_OFMA_847180,847180,8.86E-05
C_OFMA_847190,847190,0.00010835
C_OFMA_847210,847210,2.66E-06
C_OFMA_847230,847230,2.66E-06
C_OFMA_847290,847290,1.35E-06
C_ONFM_750220,750220,0.085502792
C_ONFM_750512,750512,0.077463091
C_ONFM_750522,750522,0.078217379
C_ONFM_750620,750620,0.077167219
C_ONFM_750712,750712,0.078005542
C_ONFM_810520,810520,0.31911757
C_ONFM_810590,810590,0.157715081
C_ONFO_260200,260200,0.025451692
C_ONFO_260500,260500,0.036318972
C_ONFO_261790,261790,0.078885835
C_ONMM_381600,381600,6.85E-06
C_OTRE_871160,871160,1.49E-05
C_OTRE_880220,880220,0.199556118
C_OTRE_880230,880230,0.016130059
C_OTRE_880240,880240,0.003729927
C_PREM_711510,711510,0.059368804
C_RATV_851711,851711,0.001508479
C_RATV_851712,851712,0.014325327
C_RATV_851718,851718,0.00150793
C_RATV_851761,851761,0.003118628
C_RATV_851762,851762,0.001969308
C_RATV_851769,851769,0.0015084
C_RATV_851770,851770,6.60E-05
C_RATV_851810,851810,0.001659678
C_RATV_851821,851821,0.000102592
C_RATV_851822,851822,0.000194282
C_RATV_851829,851829,0.000123633
C_RATV_851830,851830,0.000473757
C_RATV_851840,851840,1.47E-06
C_RATV_851850,851850,0.002765743
C_RATV_851890,851890,0.000127699
C_RATV_851930,851930,0.004912708
C_RATV_851950,851950,0.001499341
C_RATV_851981,851981,0.119874775
C_RATV_851989,851989,0.083824916
C_RATV_852110,852110,1.98E-06
C_RATV_852190,852190,2.06E-06
C_RATV_852321,852321,0.000783933
C_RATV_852329,852329,0.001131532
C_RATV_852341,852341,5.78E-05
C_RATV_852349,852349,7.05E-05
C_RATV_852351,852351,5.51E-05
C_RATV_852359,852359,6.15E-05
C_RATV_852380,852380,8.82E-05
C_RATV_852560,852560,0.002350004
C_RATV_852580,852580,0.002983557
C_RATV_852712,852712,1.07E-06
C_RATV_852713,852713,1.16E-06
C_RATV_852719,852719,1.13E-06
C_RATV_852721,852721,1.44E-06
C_RATV_852729,852729,1.48E-06
C_RATV_852791,852791,1.16E-06
C_RATV_852792,852792,1.17E-06
C_RATV_852799,852799,1.21E-06
C_RATV_852842,852842,0.000125524
C_RATV_852849,852849,0.000141185
C_RATV_852852,852852,4.56E-05
C_RATV_852859,852859,6.91E-06
C_RATV_852862,852862,4.15E-05
C_RATV_852869,852869,2.00E-06
C_RATV_852871,852871,2.05E-06
C_RATV_852872,852872,0.001214324
C_RATV_852873,852873,1.54E-05
C_RATV_853321,853321,0.026522833
C_RATV_853329,853329,0.026535438
C_RATV_853331,853331,0.02736434
C_RATV_853339,853339,0.027239835
C_RATV_853340,853340,0.026498881
C_RATV_853400,853400,0.000109957
C_RATV_854140,854140,3.34E-08
C_RATV_854231,854231,0.181016776
C_RATV_854232,854232,0.182745587
C_RATV_854233,854233,0.190488444
C_RATV_854239,854239,0.18162614
C_RATV_854290,854290,0.186666227
C_RATV_950450,950450,9.50E-06
C_STEL_720250,720250,0.058353856
C_STEL_720260,720260,0.230630767
C_STEL_720270,720270,0.114613846
C_STEL_720299,720299,0.278606495
C_STEL_721050,721050,0.037408897
C_STEL_721810,721810,0.019825607
C_STEL_722410,722410,0.078094495
C_STEL_722490,722490,0.077354047
C_STEL_722530,722530,1.58E-06
C_STEL_722540,722540,4.45E-05
C_STEL_722550,722550,7.18E-05
C_STEL_722591,722591,0.214334744
C_STEL_722620,722620,0.061180279
C_STEL_722691,722691,1.57E-05
C_STEL_722692,722692,0.000539492
C_STEL_722710,722710,0.058951223
C_STEL_722790,722790,5.70E-05
C_STEL_722810,722810,0.056063931
C_STEL_722830,722830,2.40E-05
C_STEL_722850,722850,5.19E-05
C_STEL_722990,722990,0.000202298
C_WASH_262030,262030,0.002174492
C_WASH_262060,262060,0.022766073
C_WASH_262099,262099,0.003974927
C_WNON_810530,810530,0.260813758
C_WOIL_854810,854810,0.072563799
C_WOTH_261800,261800,0.005998006
C_WOTH_261900,261900,0.005299547
C_WOTH_262190,262190,1.08E-05
C_WSTE_720429,720429,2.36E-05
C_WSTE_720441,720441,3.28E-05
C_WSTE_720449,720449,1.07E-06
C_WSTE_720450,720450,0.000598085
